Paper,,,,,Datasets Used,Methods,Goal/Objective,,,Performance Eval,,,,Limitations
System inference for the spatio-temporal evolution of infectious diseases: Michigan in the time of COVID-19,not evaluable,not evaluable,,Sonia,"cases, deaths",compartmental,Long-term,"Scenarios, Interventions",county,"parameters, cases, deaths",NA,no,no,none
The Benefits of Vaccinating With the First Available COVID-19 Coronavirus Vaccine,not evaluable,not evaluable,,Sonia,"cases, health risk factors",compartmental,Long-term,"Scenarios, Interventions",national,"cases, costs, hospitalizations",NA,no,no,"data, note factors that were not accounted for in their model, unknown factors that affect covid outcomes"
The challenges of modeling and forecasting the spread of COVID-19,none,none,,Sonia,"cases, deaths","compartmental, statistical","Short-term, Long-term","Interventions, Scenarios",state,"cases, RT",NA,95% CIs,CIs/PIs,"data, note factors that were not accounted for in their model"
The effect of eviction moratoria on the transmission of SARS-CoV-2,not evaluable,not evaluable,,Sonia,"cases, deaths, demographics",hybrid,Long-term,"Scenarios, Interventions",city,cases,NA,90% CIs,CIs/PIs,"note factors that were not accounted for in their model, unknown factors that affect covid outcomes"
The end of social confinement and COVID-19 re-emergence risk,not evaluable,not evaluable,,further discussion,"cases, deaths",compartmental,Long-term,"Scenarios, Interventions",national,"cases, deaths",NA,no,no,"note factors that were not accounted for in their model, limitations specific to the methods used, unknown factors that affect covid outcomes, data"
The forecast of COVID-19 spread risk at the county level,metric-based,compare internally,,Sonia,"mobility, demographics, cases, deaths",statistical,Short-term,,county,cases,"MAE, R2",no,no,none
The impact of vaccination to control COVID-19 burden in the United States: A simulation modeling approach,not evaluable,not evaluable,,Sonia,"mobility, cases",compartmental,Long-term,"Scenarios, Interventions",city,cases,NA,no,no,"note factors that were not accounted for in their model, unknown factors that affect covid outcomes"
The Interplay of Demographic Variables and Social Distancing Scores in Deep Prediction of U.S. COVID-19 Cases,none,none,,Sonia,"cases, deaths, demographics, mobility",statistical,Short-term,,county,cases,NA,no,no,"unknown factors that affect covid outcomes, note factors that were not accounted for in their model"
The predicted trend of COVID-19 in the United States of America under the policy of ‚ÄúOpening Up America Again‚Äù,not evaluable,not evaluable,,Sonia,"cases, deaths",statistical,Long-term,,national,"cases, deaths",NA,no,no,none
The spatiotemporal estimation of the risk and the international transmission of COVID-19: a global perspective,not evaluable,not evaluable,,Sonia,"mobility, cases, demographics",statistical ,Long-term,Scenarios,national,cases,NA,no,no,unknown factors that affect covid outcomes
The suppression effect of emotional contagion in the COVID-19 pandemic: A multilayer hybrid modelling and simulation approach,none,none,,Sonia,"cases, deaths",hybrid,Short-term,,city,cases,NA,no,no,note factors that were not accounted for in their model
Time series forecasting of Covid-19 using deep learning models: India-USA comparative case study,metric-based,compare internally,chaos,Sonia,"cases, deaths",statistical,Short-term,,national,"cases, deaths","MAPE, accuracy, precision",no,no,none
Time series prediction of COVID-19 transmission in America using LSTM and XGBoost algorithms,metric-based,compare internally,,Sonia,cases,statistical,Short-term,,national,cases,"MAE, MSE, RMSE, MAPE",no,no,"note factors that were not accounted for in their model, limited generalizability"
"Time-dependent heterogeneity leads to transient suppression of the COVID-19 epidemic, not herd immunity",not evaluable,not evaluable,,Sonia,"deaths, hospitalizations",hybrid,Long-term,,city,deaths,NA,95% CIs,CIs/PIs,"note factors that were not accounted for in their model, unknown factors that affect covid outcomes"
Time-variant reliability-based prediction of COVID-19 spread using extended SEIVR model and Monte Carlo sampling,not evaluable,not evaluable,,kristen-further discussion,"cases, deaths",compartmental ,Long-term,"Scenarios, Interventions",national,"cases, deaths, curves of probabilities that cases/deaths/recoveries will exceed certain values",NA,exceedance probabilities (prob that true value will exceed a given value),CIs/PIs,unknown factors that affect covid outcomes
Timing social distancing to avert unmanageable COVID-19 hospital surges,not evaluable,not evaluable,,Sonia,"hospitalizations, policy, human behavior",compartmental,Long-term,"Scenarios, Interventions",city,"hospitalizations, deaths",NA,90% prediction interval based on 300 simulations,CIs/PIs,"limited generalizability, note factors that were not accounted for in their model"
"Weather, Mobility, and COVID-19: A Panel Local Projections Estimator for Understanding and Forecasting Infectious Disease Spread",metric-based,evaluate one model,hub preprint,Felix,"cases, deaths, mobility, climate",hybrid,"Short-term, Long-term",,county,cases,"RMSE, pearson correlation",no,no,"data, note factors that were not accounted for in their model"
State-level needs for social distancing and contact tracing to contain COVID-19 in the United States,not evaluable,not evaluable,,Sonia,"cases, mobility",compartmental,Long-term,"Scenarios, Interventions",state,"cases, deaths",NA,CIs/Pis,CIs/PIs,"note factors that were not accounted for in their model, data"
