source_title,Category
Microbial Ecology,"Ecology, Evolution, Behavior and Systematics"
Ecosystems and People,"Ecology, Evolution, Behavior and Systematics"
Fungal Biology and Biotechnology,"Ecology, Evolution, Behavior and Systematics"
Oikos,"Ecology, Evolution, Behavior and Systematics"
American Naturalist,"Ecology, Evolution, Behavior and Systematics"
Journal of Geochemical Exploration,Economic Geology
Journal of the Academy of Marketing Science,Economics and Econometrics
Journal of Innovation and Knowledge,Economics and Econometrics
Strategic Entrepreneurship Journal,Economics and Econometrics
Journal of Marketing Research,Economics and Econometrics
European Research on Management and Business Economics,Economics and Econometrics
Electronic Markets,Economics and Econometrics
Journal of Family Business Strategy,Economics and Econometrics
Journal of Labor Economics,Economics and Econometrics
Foundations and Trends in Entrepreneurship,Economics and Econometrics
International Journal of Electronic Commerce,Economics and Econometrics
Business Ethics,Economics and Econometrics
Journal of the Association for Consumer Research,Economics and Econometrics
BRQ Business Research Quarterly,Economics and Econometrics
Journal of Human Resources,Economics and Econometrics
Quarterly Journal of Economics,Economics and Econometrics
Journal of Economic Perspectives,Economics and Econometrics
"Resources, Conservation and Recycling",Economics and Econometrics
Review of Environmental Economics and Policy,Economics and Econometrics
Journal of Economic Literature,Economics and Econometrics
American Economic Review,Economics and Econometrics
MIS Quarterly Executive,Economics and Econometrics
Economic Policy,Economics and Econometrics
Journal of Political Economy,Economics and Econometrics
Journal of the Association of Environmental and Resource Economists,Economics and Econometrics
Energy Economics,Economics and Econometrics
Ecological Economics,Economics and Econometrics
Econometrica,Economics and Econometrics
Oxford Review of Economic Policy,Economics and Econometrics
Journal of Environmental Economics and Management,Economics and Econometrics
Review of Economic Studies,Economics and Econometrics
Annual Review of Resource Economics,Economics and Econometrics
Journal of Economic Surveys,Economics and Econometrics
Economic Journal,Economics and Econometrics
Journal of Supply Chain Management,"Economics, Econometrics and Finance (miscellaneous)"
"Accounting, Auditing and Accountability Journal","Economics, Econometrics and Finance (miscellaneous)"
Asia Pacific Journal of Management,"Economics, Econometrics and Finance (miscellaneous)"
"Economics, Management, and Financial Markets","Economics, Econometrics and Finance (miscellaneous)"
Eurasian Business Review,"Economics, Econometrics and Finance (miscellaneous)"
"Work, Aging and Retirement","Economics, Econometrics and Finance (miscellaneous)"
Research in Transportation Business and Management,"Economics, Econometrics and Finance (miscellaneous)"
"City, Culture and Society","Economics, Econometrics and Finance (miscellaneous)"
Electronic Commerce Research,"Economics, Econometrics and Finance (miscellaneous)"
European Journal of Health Economics,"Economics, Econometrics and Finance (miscellaneous)"
Maritime Economics and Logistics,"Economics, Econometrics and Finance (miscellaneous)"
American Journal of Health Economics,"Economics, Econometrics and Finance (miscellaneous)"
Research in Transportation Economics,"Economics, Econometrics and Finance (miscellaneous)"
Teachers and Teaching: Theory and Practice,Education
Journal of Intellectual Capital,Education
Scientific data,Education
Journal of Vocational Behavior,Education
Journal of Hospitality and Tourism Research,Education
Journal of Mixed Methods Research,Education
Academy of Management Learning and Education,Education
Strategic Organization,Education
South African Journal of Chemical Engineering,Education
Research and Practice in Technology Enhanced Learning,Education
Educational Management Administration and Leadership,Education
International Journal of Management Education,Education
Learning Organization,Education
CBE Life Sciences Education,Education
International Journal of Stress Management,Education
Journal of Accounting Education,Education
Journal of Marketing for Higher Education,Education
Chemistry Education Research and Practice,Education
Journal of Marketing Education,Education
Journal of Engineering Education,Education
International Journal of Human Computer Studies,Education
IEEE Transactions on Learning Technologies,Education
Educational Technology and Society,Education
IEEE Transactions on Education,Education
"Learning, Media and Technology",Education
Physical Education and Sport Pedagogy,Education
"Sport, Education and Society",Education
Journal of Teaching in Physical Education,Education
Journal of Science Education and Technology,Education
European Physical Education Review,Education
Journal of Environmental Education,Education
Child Development,Education
Developmental Review,Education
Clinical Child and Family Psychology Review,Education
Remedial and Special Education,Education
Journal of the Learning Sciences,Education
Journal of Educational Psychology,Education
Learning and Instruction,Education
Contemporary Educational Psychology,Education
Journal of School Psychology,Education
Exceptional Children,Education
Scientific Studies of Reading,Education
Reading Research Quarterly,Education
Cognition and Instruction,Education
Revista de Psicodidactica,Education
British Journal of Educational Psychology,Education
Educational Psychology,Education
Instructional Science,Education
Learning and Individual Differences,Education
Gifted Child Quarterly,Education
School Psychology,Education
Physical Review Physics Education Research,Education
Review of Educational Research,Education
Internet and Higher Education,Education
Educational Research Review,Education
Computers and Education,Education
User Modeling and User-Adapted Interaction,Education
Review of Research in Education,Education
International Journal of Educational Technology in Higher Education,Education
International Journal of Computer-Supported Collaborative Learning,Education
Research Synthesis Methods,Education
International Journal of Artificial Intelligence in Education,Education
Journal of Research in Science Teaching,Education
British Journal of Educational Technology,Education
Journal of Teacher Education,Education
Studies in Science Education,Education
American Educational Research Journal,Education
Studies in Higher Education,Education
Journal of Computing in Higher Education,Education
ACM Transactions on Computing Education,Education
Educational Evaluation and Policy Analysis,Education
Higher Education,Education
Sociology of Education,Education
Assessment and Evaluation in Higher Education,Education
Active Learning in Higher Education,Education
Journal of Education Policy,Education
Teaching and Teacher Education,Education
Metacognition and Learning,Education
Educational Researcher,Education
Journal of Computer Assisted Learning,Education
Journal of Research on Educational Effectiveness,Education
International Journal of Child-Computer Interaction,Education
International Review of Research in Open and Distance Learning,Education
International Journal of STEM Education,Education
Australasian Journal of Educational Technology,Education
Academic Medicine,Education
Education and Information Technologies,Education
Medical Education,Education
Environmental Education Research,Education
International Journal of Mobile Learning and Organisation,Education
Journal of New Approaches in Educational Research,Education
Computer Science Education,Education
Critical Studies in Education,Education
Interactive Learning Environments,Education
Urban Education,Education
Educational Technology Research and Development,Education
Journal of Computer Information Systems,Education
Journal of Educational Computing Research,Education
Thinking Skills and Creativity,Education
Advances in Health Sciences Education,Education
Quest,Education
Research Evaluation,Education
The International Journal of Qualitative Methods,Education
"Assessment in Education: Principles, Policy and Practice",Education
Distance Education,Education
Research in Science Education,Education
Higher Education Research and Development,Education
Medical Teacher,Education
Education Finance and Policy,Education
Educational Administration Quarterly,Education
European Journal of Teacher Education,Education
Journal of Early Childhood Literacy,Education
Materials Horizons,Electrical and Electronic Engineering
ACS Photonics,Electrical and Electronic Engineering
IEEE Communications Surveys and Tutorials,Electrical and Electronic Engineering
Nano Energy,Electrical and Electronic Engineering
Progress in Photovoltaics: Research and Applications,Electrical and Electronic Engineering
Nano-Micro Letters,Electrical and Electronic Engineering
IEEE Journal on Selected Topics in Signal Processing,Electrical and Electronic Engineering
npj Flexible Electronics,Electrical and Electronic Engineering
IEEE Transactions on Power Electronics,Electrical and Electronic Engineering
IEEE Transactions on Signal Processing,Electrical and Electronic Engineering
IEEE Transactions on Communications,Electrical and Electronic Engineering
IEEE Journal of Solid-State Circuits,Electrical and Electronic Engineering
IEEE Transactions on Antennas and Propagation,Electrical and Electronic Engineering
IEEE Journal of Selected Topics in Quantum Electronics,Electrical and Electronic Engineering
Biosensors and Bioelectronics,Electrochemistry
Electrochimica Acta,Electrochemistry
Anatomical Sciences Education,Embryology
Rural and Remote Health,Emergency Medical Services
World Journal of Emergency Surgery,Emergency Medicine
Annals of Emergency Medicine,Emergency Medicine
Current Heart Failure Reports,Emergency Medicine
Academic Emergency Medicine,Emergency Medicine
Advances in Wound Care,Emergency Medicine
Internal and Emergency Medicine,Emergency Medicine
Burns,Emergency Medicine
Resuscitation,Emergency Nursing
Prehospital Emergency Care,Emergency Nursing
Frontiers in Neuroendocrinology,Endocrine and Autonomic Systems
Journal of Pineal Research,Endocrinology
European Journal of Endocrinology,Endocrinology
Neurobiology of Stress,Endocrinology
The Lancet Diabetes and Endocrinology,"Endocrinology, Diabetes and Metabolism"
Nature Reviews Endocrinology,"Endocrinology, Diabetes and Metabolism"
Endocrine Reviews,"Endocrinology, Diabetes and Metabolism"
Bone Research,"Endocrinology, Diabetes and Metabolism"
Trends in Endocrinology and Metabolism,"Endocrinology, Diabetes and Metabolism"
Cytokine and Growth Factor Reviews,"Endocrinology, Diabetes and Metabolism"
Reviews in Endocrine and Metabolic Disorders,"Endocrinology, Diabetes and Metabolism"
Metabolism: Clinical and Experimental,"Endocrinology, Diabetes and Metabolism"
"Diabetes, Obesity and Metabolism","Endocrinology, Diabetes and Metabolism"
Thyroid,"Endocrinology, Diabetes and Metabolism"
Endocrine-Related Cancer,"Endocrinology, Diabetes and Metabolism"
Journal of Clinical Endocrinology and Metabolism,"Endocrinology, Diabetes and Metabolism"
Diabetologia,"Endocrinology, Diabetes and Metabolism"
Diabetes,"Endocrinology, Diabetes and Metabolism"
Journal of Power Sources,Energy Engineering and Power Technology
Fuel Processing Technology,Energy Engineering and Power Technology
Journal of Energy Chemistry,Energy Engineering and Power Technology
Biofuel Research Journal,Energy Engineering and Power Technology
Nature Energy,Energy Engineering and Power Technology
Energy Storage Materials,Energy Engineering and Power Technology
IEEE Transactions on Power Systems,Energy Engineering and Power Technology
IEEE Transactions on Power Delivery,Energy Engineering and Power Technology
IEEE Journal of Emerging and Selected Topics in Power Electronics,Energy Engineering and Power Technology
IEEE Transactions on Energy Conversion,Energy Engineering and Power Technology
ISPRS Journal of Photogrammetry and Remote Sensing,Engineering (miscellaneous)
Extreme Mechanics Letters,Engineering (miscellaneous)
Bioinspiration and Biomimetics,Engineering (miscellaneous)
Additive Manufacturing,Engineering (miscellaneous)
Visualization in Engineering,Engineering (miscellaneous)
European Physical Journal C,Engineering (miscellaneous)
Environmental Science & Technology,Environmental Chemistry
Bioresource Technology,Environmental Engineering
Journal of Hazardous Materials,Environmental Engineering
Science of the Total Environment,Environmental Engineering
Reviews in Environmental Science and Biotechnology,Environmental Engineering
Environmental Modelling and Software,Environmental Engineering
Climate Policy,Environmental Science (miscellaneous)
International Journal of Epidemiology,Epidemiology
European Journal of Epidemiology,Epidemiology
Behavior Research Methods,Experimental and Cognitive Psychology
Trends in Cognitive Sciences,Experimental and Cognitive Psychology
Nature Human Behaviour,Experimental and Cognitive Psychology
Social Cognitive and Affective Neuroscience,Experimental and Cognitive Psychology
Psychophysiology,Experimental and Cognitive Psychology
Annals of Family Medicine,Family Practice
European Journal of General Practice,Family Practice
npj Primary Care Respiratory Medicine,Family Practice
Journal of the American Board of Family Medicine,Family Practice
Journal of Membrane Science,Filtration and Separation
Long Range Planning,Finance
Journal of World Business,Finance
Family Business Review,Finance
International Business Review,Finance
Accounting Review,Finance
Review of Finance,Finance
"Intelligent Systems in Accounting, Finance and Management",Finance
International Journal of Accounting Information Systems,Finance
Journal of International Management,Finance
Management Accounting Research,Finance
EuroMed Journal of Business,Finance
Journal of Financial and Quantitative Analysis,Finance
Journal of Corporate Finance,Finance
Foundations and Trends in Finance,Finance
Journal of Financial Intermediation,Finance
Review of Development Finance,Finance
Technological and Economic Development of Economy,Finance
Finance Research Letters,Finance
"Journal of International Financial Markets, Institutions and Money",Finance
ACS Sensors,Fluid Flow and Transfer Processes
International Journal of Heat and Mass Transfer,Fluid Flow and Transfer Processes
Advances in Nano Research,Fluid Flow and Transfer Processes
"Engineering Science and Technology, an International Journal",Fluid Flow and Transfer Processes
"Journal of King Saud University, Engineering Sciences",Fluid Flow and Transfer Processes
Journal of Aerosol Science,Fluid Flow and Transfer Processes
Animal Frontiers,Food Animals
Journal of Integrative Agriculture,Food Animals
Annual review of food science and technology,Food Science
Trends in Food Science and Technology,Food Science
Comprehensive Reviews in Food Science and Food Safety,Food Science
Food Hydrocolloids,Food Science
Food Chemistry,Food Science
Journal of Food and Drug Analysis,Food Science
Molecular Nutrition and Food Research,Food Science
Food Reviews International,Food Science
Current Opinion in Food Science,Food Science
Food Control,Food Science
Journal of Food Engineering,Food Science
Food and Chemical Toxicology,Food Science
Food Microbiology,Food Science
International Journal of Food Microbiology,Food Science
Food Quality and Preference,Food Science
Nutrition and Healthy Aging,Food Science
Innovative Food Science and Emerging Technologies,Food Science
Food Research International,Food Science
Journal of the International Society of Sports Nutrition,Food Science
Meat Science,Food Science
Bioresources and Bioprocessing,Food Science
GCB Bioenergy,Forestry
Current Forestry Reports,Forestry
Agricultural and Forest Meteorology,Forestry
Urban Forestry and Urban Greening,Forestry
Biomass and Bioenergy,Forestry
Food and Energy Security,Forestry
Forest Ecology and Management,Forestry
International Journal of Wildland Fire,Forestry
Journal of wound care,Fundamentals and Skills
Gastric Cancer,Gastroenterology
Gut Microbes,Gastroenterology
Nature Reviews Gastroenterology and Hepatology,Gastroenterology
Gut,Gastroenterology
Gastroenterology,Gastroenterology
The Lancet Gastroenterology and Hepatology,Gastroenterology
Journal of Crohn's and Colitis,Gastroenterology
Journal of Gastroenterology,Gastroenterology
Cellular and Molecular Gastroenterology and Hepatology,Gastroenterology
Clinical Gastroenterology and Hepatology,Gastroenterology
Endoscopy,Gastroenterology
Inflammatory Bowel Diseases,Gastroenterology
Journal of Sex Research,Gender Studies
Gender and Society,Gender Studies
Psychology of Women Quarterly,Gender Studies
Feminism and Psychology,Gender Studies
European Journal of Women's Studies,Gender Studies
Journal of Gender Studies,Gender Studies
Biology of Sex Differences,Gender Studies
International Journal of Gender and Entrepreneurship,Gender Studies
International Journal of Transgender Health,Gender Studies
Transgender Health,Gender Studies
Sex Roles,Gender Studies
Journal of Homosexuality,Gender Studies
Psychology of Sexual Orientation and Gender Diversity,Gender Studies
Psychology of Men and Masculinity,Gender Studies
Sexuality Research and Social Policy,Gender Studies
Biological Reviews,General Agricultural and Biological Sciences
Physics of Life Reviews,General Agricultural and Biological Sciences
Current Biology,General Agricultural and Biological Sciences
BioScience,General Agricultural and Biological Sciences
PLoS Biology,General Agricultural and Biological Sciences
Philosophical Transactions of the Royal Society B: Biological Sciences,General Agricultural and Biological Sciences
Journal of the Saudi Society of Agricultural Sciences,General Agricultural and Biological Sciences
Quarterly Review of Biology,General Agricultural and Biological Sciences
Precision Agriculture,General Agricultural and Biological Sciences
Proceedings of the Royal Society B: Biological Sciences,General Agricultural and Biological Sciences
Journal of Agricultural and Food Chemistry,General Agricultural and Biological Sciences
Science China Life Sciences,General Agricultural and Biological Sciences
Evolutionary Applications,General Agricultural and Biological Sciences
Proceedings of the Japan Academy Series B: Physical and Biological Sciences,General Agricultural and Biological Sciences
Evolution; international journal of organic evolution,General Agricultural and Biological Sciences
Biological Research,General Agricultural and Biological Sciences
Saudi Journal of Biological Sciences,General Agricultural and Biological Sciences
Journal of Archaeological Research,General Arts and Humanities
Palgrave Communications,General Arts and Humanities
Antiquity,General Arts and Humanities
China Information,General Arts and Humanities
South Asia Research,General Arts and Humanities
Arabian Archaeology and Epigraphy,General Arts and Humanities
Critical Inquiry,General Arts and Humanities
SAGE Open,General Arts and Humanities
Journal of the History of Economic Thought,General Arts and Humanities
Asian Medicine,General Arts and Humanities
Social Analysis,General Arts and Humanities
Polar Journal,General Arts and Humanities
"Art, Design & Communication in Higher Education",General Arts and Humanities
Evolutionary Studies in Imaginative Culture,General Arts and Humanities
Cell,"General Biochemistry, Genetics and Molecular Biology"
Nature Medicine,"General Biochemistry, Genetics and Molecular Biology"
Annual Review of Medicine,"General Biochemistry, Genetics and Molecular Biology"
Nature Communications,"General Biochemistry, Genetics and Molecular Biology"
Nature Protocols,"General Biochemistry, Genetics and Molecular Biology"
Cold Spring Harbor perspectives in biology,"General Biochemistry, Genetics and Molecular Biology"
EMBO Journal,"General Biochemistry, Genetics and Molecular Biology"
Cell Reports,"General Biochemistry, Genetics and Molecular Biology"
Cold Spring Harbor perspectives in medicine,"General Biochemistry, Genetics and Molecular Biology"
eLife,"General Biochemistry, Genetics and Molecular Biology"
EBioMedicine,"General Biochemistry, Genetics and Molecular Biology"
Brookings Papers on Economic Activity,"General Business, Management and Accounting"
Academy of Management Journal,"General Business, Management and Accounting"
Academy of Management Review,"General Business, Management and Accounting"
Supply Chain Management,"General Business, Management and Accounting"
Small Business Economics,"General Business, Management and Accounting"
ACM Transactions on Information Systems,"General Business, Management and Accounting"
Journal of Business and Psychology,"General Business, Management and Accounting"
British Journal of Management,"General Business, Management and Accounting"
R and D Management,"General Business, Management and Accounting"
Journal of Small Business Management,"General Business, Management and Accounting"
Total Quality Management and Business Excellence,"General Business, Management and Accounting"
Review of Managerial Science,"General Business, Management and Accounting"
Industry and Innovation,"General Business, Management and Accounting"
International Journal of Health Geographics,"General Business, Management and Accounting"
Management Decision,"General Business, Management and Accounting"
Progress in Energy and Combustion Science,General Chemical Engineering
Nature Reviews Chemistry,General Chemical Engineering
Nature Chemistry,General Chemical Engineering
ACS Central Science,General Chemical Engineering
Chemistry of Materials,General Chemical Engineering
Annual Review of Chemical and Biomolecular Engineering,General Chemical Engineering
ACS Sustainable Chemistry and Engineering,General Chemical Engineering
Corrosion Science,General Chemical Engineering
Journal of Industrial and Engineering Chemistry,General Chemical Engineering
Reviews in Chemical Engineering,General Chemical Engineering
Arabian Journal of Chemistry,General Chemical Engineering
Journal of the Taiwan Institute of Chemical Engineers,General Chemical Engineering
Dyes and Pigments,General Chemical Engineering
Chemical Reviews,General Chemistry
Chemical Society Reviews,General Chemistry
Accounts of Chemical Research,General Chemistry
Angewandte Chemie - International Edition,General Chemistry
Catalysis Reviews - Science and Engineering,General Chemistry
ACS Catalysis,General Chemistry
Chemical Science,General Chemistry
Trends in Chemistry,General Chemistry
Topics in Current Chemistry,General Chemistry
Chinese Journal of Catalysis,General Chemistry
Proceedings of the IEEE,General Computer Science
IEEE Transactions on Dependable and Secure Computing,General Computer Science
ACM Computing Surveys,General Computer Science
Computer Science Review,General Computer Science
International journal of oral science,General Dentistry
Journal of Dental Research,General Dentistry
Dental Materials,General Dentistry
International Endodontic Journal,General Dentistry
Journal of Endodontics,General Dentistry
Molecular Oral Microbiology,General Dentistry
Journal of Dentistry,General Dentistry
Japanese Dental Science Review,General Dentistry
Dental Clinics of North America,General Dentistry
Caries Research,General Dentistry
Nature Geoscience,General Earth and Planetary Sciences
Earth-Science Reviews,General Earth and Planetary Sciences
Earth System Science Data,General Earth and Planetary Sciences
IEEE Transactions on Geoscience and Remote Sensing,General Earth and Planetary Sciences
GIScience and Remote Sensing,General Earth and Planetary Sciences
Egyptian Journal of Remote Sensing and Space Science,General Earth and Planetary Sciences
Geoscience Frontiers,General Earth and Planetary Sciences
GPS Solutions,General Earth and Planetary Sciences
Journal of Advances in Modeling Earth Systems,General Earth and Planetary Sciences
Earth System Dynamics,General Earth and Planetary Sciences
Carbon Balance and Management,General Earth and Planetary Sciences
American Journal of Science,General Earth and Planetary Sciences
International Journal of Digital Earth,General Earth and Planetary Sciences
Remote Sensing,General Earth and Planetary Sciences
Science China Earth Sciences,General Earth and Planetary Sciences
Structural Equation Modeling,"General Economics, Econometrics and Finance"
Spatial Economic Analysis,"General Economics, Econometrics and Finance"
International Economics,"General Economics, Econometrics and Finance"
Economics of Innovation and New Technology,"General Economics, Econometrics and Finance"
She Ji,"General Economics, Econometrics and Finance"
Economics and Sociology,"General Economics, Econometrics and Finance"
IMF Economic Review,"General Economics, Econometrics and Finance"
American Economic Journal: Applied Economics,"General Economics, Econometrics and Finance"
American Economic Journal: Economic Policy,"General Economics, Econometrics and Finance"
American Economic Journal: Macroeconomics,"General Economics, Econometrics and Finance"
Journal of Financial Stability,"General Economics, Econometrics and Finance"
Socio-Economic Review,"General Economics, Econometrics and Finance"
Journal of the European Economic Association,"General Economics, Econometrics and Finance"
Wine Economics and Policy,"General Economics, Econometrics and Finance"
Development Engineering,"General Economics, Econometrics and Finance"
Nonlinear Analysis: Real World Applications,"General Economics, Econometrics and Finance"
Journal of Electronic Commerce Research,"General Economics, Econometrics and Finance"
"Journal of Open Innovation: Technology, Market, and Complexity","General Economics, Econometrics and Finance"
American Economic Journal: Microeconomics,"General Economics, Econometrics and Finance"
International Journal of Energy Economics and Policy,"General Economics, Econometrics and Finance"
ChemSusChem,General Energy
Joule,General Energy
Advanced Science,General Engineering
Technovation,General Engineering
KONA Powder and Particle Journal,General Engineering
ACS Nano,General Engineering
International Journal of Engineering Science,General Engineering
Composites Science and Technology,General Engineering
Expert Systems with Applications,General Engineering
Computers in Industry,General Engineering
Advances in Engineering Software,General Engineering
Computers and Industrial Engineering,General Engineering
Nano Convergence,General Engineering
International Journal of Applied Engineering Research (Netherlands),General Engineering
APL Materials,General Engineering
International Journal of Thermal Sciences,General Engineering
Ain Shams Engineering Journal,General Engineering
Precision Engineering,General Engineering
Applied Catalysis B: Environmental,General Environmental Science
Global Biogeochemical Cycles,General Environmental Science
Atmospheric Environment,General Environmental Science
Environmental Research,General Environmental Science
Global Change Biology,General Environmental Science
Environment international,General Environmental Science
Environment and Behavior,General Environmental Science
Journal of Environmental Sciences,General Environmental Science
Wiley Interdisciplinary Reviews: Energy and Environment,General Environmental Science
International Journal of Life Cycle Assessment,General Environmental Science
Journal of Learning Disabilities,General Health Professions
Journal of Materials Chemistry A,General Materials Science
Carbon,General Materials Science
Small Methods,General Materials Science
Advanced Energy Materials,General Materials Science
Progress in Materials Science,General Materials Science
Current Opinion in Solid State and Materials Science,General Materials Science
ACS applied materials & interfaces,General Materials Science
Materials Research Letters,General Materials Science
Nanoscale,General Materials Science
Nanoscale Horizons,General Materials Science
Science and Technology of Advanced Materials,General Materials Science
Arab Journal of Basic and Applied Sciences,General Mathematics
Statistical Science,General Mathematics
American Statistician,General Mathematics
Mathematics of Operations Research,General Mathematics
Symmetry,General Mathematics
Robotics and Computer-Integrated Manufacturing,General Mathematics
Robotics and Autonomous Systems,General Mathematics
"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences",General Mathematics
Mechanics of Advanced Materials and Structures,General Mathematics
"Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences",General Mathematics
Mechanics Based Design of Structures and Machines,General Mathematics
Mathematics and Mechanics of Solids,General Mathematics
Robotica,General Mathematics
Mathematical Methods in the Applied Sciences,General Mathematics
Acta Numerica,General Mathematics
Swarm and Evolutionary Computation,General Mathematics
Journal of the American Mathematical Society,General Mathematics
"Chaos, Solitons and Fractals",General Mathematics
Mathematical Programming,General Mathematics
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,General Mathematics
Acta Mathematica,General Mathematics
Communications on Pure and Applied Mathematics,General Mathematics
Computational Intelligence and Neuroscience,General Mathematics
Inventiones Mathematicae,General Mathematics
SIAM Journal on Imaging Sciences,General Mathematics
IMA Journal of Numerical Analysis,General Mathematics
SIAM Journal on Computing,General Mathematics
Journal on Mathematics Education,General Mathematics
Memoirs of the American Mathematical Society,General Mathematics
Bulletin of Mathematical Sciences,General Mathematics
International Journal of Science and Mathematics Education,General Mathematics
Advances in Theoretical and Mathematical Physics,General Mathematics
Duke Mathematical Journal,General Mathematics
Journal of the European Mathematical Society,General Mathematics
ZDM - International Journal on Mathematics Education,General Mathematics
Educational Studies in Mathematics,General Mathematics
The Lancet,General Medicine
New England Journal of Medicine,General Medicine
Nature Reviews Disease Primers,General Medicine
The Lancet Global Health,General Medicine
JAMA - Journal of the American Medical Association,General Medicine
Annual Review of Public Health,General Medicine
NCHS data brief,General Medicine
Science Translational Medicine,General Medicine
Journal of Clinical Investigation,General Medicine
Briefings in Bioinformatics,General Medicine
Plant Cell,General Medicine
Annals of Surgery,General Medicine
Epidemiologic Reviews,General Medicine
Annals of Internal Medicine,General Medicine
PLoS Medicine,General Medicine
Progress in the chemistry of organic natural products,General Medicine
Military Medical Research,General Medicine
Plant Physiology,General Medicine
American journal of obstetrics & gynecology MFM,General Medicine
Schizophrenia Bulletin,General Medicine
Mayo Clinic Proceedings,General Medicine
BMC Medicine,General Medicine
Health systems in transition,General Medicine
Journal of Nuclear Medicine,General Medicine
JCI insight,General Medicine
American Journal of Gastroenterology,General Medicine
Journal of Urology,General Medicine
Neurology,General Medicine
Pain,General Medicine
Clinical Science,General Medicine
Clinical Chemistry,General Medicine
Frontiers of Medicine,General Medicine
American Society of Clinical Oncology educational book / ASCO. American Society of Clinical Oncology. Meeting,General Medicine
European Journal of Preventive Cardiology,General Medicine
European Heart Journal: Acute Cardiovascular Care,General Medicine
Advances in dental research,General Medicine
Evolutionary Computation,General Medicine
Current Opinion in Neurology,General Medicine
Biomedical Journal,General Medicine
Medical Clinics of North America,General Medicine
Current Opinion in Infectious Diseases,General Medicine
Altex,General Medicine
Annals of Medicine,General Medicine
Obstetrics and Gynecology,General Medicine
Current Opinion in HIV and AIDS,General Medicine
"MicroRNA (Shariqah, United Arab Emirates)",General Medicine
Alcohol research : current reviews,General Medicine
Current Opinion in Lipidology,General Medicine
AIDS,General Medicine
The BMJ,General Medicine
Journal of Hypertension,General Medicine
British Medical Bulletin,General Medicine
Current Opinion in Psychiatry,General Medicine
Revista espan&#x0303;ola de cardiologi&#x0301;a (English ed.),General Medicine
Journal of Molecular Cell Biology,General Medicine
Psychosomatic Medicine,General Medicine
Retina,General Medicine
Frontiers in Bioscience - Landmark,General Medicine
Metallomics,General Medicine
Shock,General Medicine
Current Opinion in Ophthalmology,General Medicine
Endocrine Practice,General Medicine
"Current Opinion in Endocrinology, Diabetes and Obesity",General Medicine
Integrative Biology (United Kingdom),General Medicine
European Journal of Anaesthesiology,General Medicine
Cell Transplantation,General Medicine
European heart journal. Quality of care & clinical outcomes,General Medicine
Panminerva Medica,General Medicine
Current Opinion in Oncology,General Medicine
Journal of Pediatric Gastroenterology and Nutrition,General Medicine
"Vital and health statistics. Series 2, Data evaluation and methods research",General Medicine
American Journal of Medicine,General Medicine
Journal of Experimental Biology,General Medicine
Journal of Trauma and Acute Care Surgery,General Medicine
Demography,General Medicine
Drugs in Context,General Medicine
JAMA network open,General Medicine
Minerva Medica,General Medicine
Sleep Medicine,General Medicine
Nature Neuroscience,General Neuroscience
Nature Reviews Neuroscience,General Neuroscience
Neuron,General Neuroscience
Annual Review of Neuroscience,General Neuroscience
Progress in Neurobiology,General Neuroscience
Trends in Neurosciences,General Neuroscience
Current Opinion in Neurobiology,General Neuroscience
Clinical and Translational Immunology,General Nursing
Journal of the American Medical Directors Association,General Nursing
Journal of Pain and Symptom Management,General Nursing
International Journal of Nursing Studies,General Nursing
Nurse Education Today,General Nursing
Journal of Nursing Scholarship,General Nursing
Journal of Advanced Nursing,General Nursing
Nursing Outlook,General Nursing
Global Qualitative Nursing Research,General Nursing
Journal of Clinical Nursing,General Nursing
Worldviews on Evidence-Based Nursing,General Nursing
Advances in Pharmacological Sciences,"General Pharmacology, Toxicology and Pharmaceutics"
Pharmacogenetics and Genomics,"General Pharmacology, Toxicology and Pharmaceutics"
Handbook of Experimental Pharmacology,"General Pharmacology, Toxicology and Pharmaceutics"
ChemMedChem,"General Pharmacology, Toxicology and Pharmaceutics"
Drug Metabolism Reviews,"General Pharmacology, Toxicology and Pharmaceutics"
Expert Review of Clinical Pharmacology,"General Pharmacology, Toxicology and Pharmaceutics"
Acta Pharmaceutica Sinica B,"General Pharmacology, Toxicology and Pharmaceutics"
Combustion and Flame,General Physics and Astronomy
Reviews of Modern Physics,General Physics and Astronomy
Physics Reports,General Physics and Astronomy
Reports on Progress in Physics,General Physics and Astronomy
Nature Physics,General Physics and Astronomy
Applied Physics Reviews,General Physics and Astronomy
Physical Review X,General Physics and Astronomy
Nature Reviews Physics,General Physics and Astronomy
Physical Review Letters,General Physics and Astronomy
Advances in Physics: X,General Physics and Astronomy
Reviews in Physics,General Physics and Astronomy
Fortschritte der Physik,General Physics and Astronomy
La Rivista del Nuovo Cimento,General Physics and Astronomy
Computer Physics Communications,General Physics and Astronomy
Results in Physics,General Physics and Astronomy
Annals of Behavioral Medicine,General Psychology
"Psychological Science in the Public Interest, Supplement",General Psychology
Psychological Bulletin,General Psychology
Annual Review of Psychology,General Psychology
Perspectives on Psychological Science,General Psychology
Psychological Review,General Psychology
Psychological Science,General Psychology
Current Directions in Psychological Science,General Psychology
Current Opinion in Psychology,General Psychology
Appetite,General Psychology
American Psychologist,General Psychology
Wiley Interdisciplinary Reviews: Cognitive Science,General Psychology
